date	new_cases	county	source	outbreak	cumulative_cases
2026-08-14	11	Chester	Scrape of PDOH measles webpage	2	36
2026-08-14	1	Clearfield	Scrape of PDOH measles webpage	2	4
2026-08-14	1	Dauphin	Scrape of PDOH measles webpage	2	3
2026-08-14	1	Indiana	Scrape of PDOH measles webpage	2	4
2026-08-14	16	Lancaster	Scrape of PDOH measles webpage	2	153
2026-08-14	3	Mifflin	Scrape of PDOH measles webpage	2	14
2026-08-14	1	Snyder	Scrape of PDOH measles webpage	2	4
2026-08-14	1	York	Scrape of PDOH measles webpage	2	15
2026-08-17	1	Centre	Scrape of PDOH measles webpage	2	7
2026-08-17	1	Columbia	Scrape of PDOH measles webpage	2	1
2026-08-17	2	Jefferson	Scrape of PDOH measles webpage	2	6
2026-08-17	1	Lancaster	Scrape of PDOH measles webpage	2	154
2026-08-17	1	Lycoming	Scrape of PDOH measles webpage	2	1
2026-08-17	3	Mifflin	Scrape of PDOH measles webpage	2	17
2026-08-17	2	Snyder	Scrape of PDOH measles webpage	2	6
2026-08-19	1	Bedford	Scrape of PDOH measles webpage	2	2
2026-08-19	3	Centre	Scrape of PDOH measles webpage	2	10
2026-08-19	1	Chester	Scrape of PDOH measles webpage	2	37
2026-08-19	3	Clearfield	Scrape of PDOH measles webpage	2	7
2026-08-19	1	Clinton	Scrape of PDOH measles webpage	2	1
2026-08-19	1	Elk	Scrape of PDOH measles webpage	2	1
2026-08-19	4	Indiana	Scrape of PDOH measles webpage	2	8
2026-08-19	1	Jefferson	Scrape of PDOH measles webpage	2	7
2026-08-19	5	Lancaster	Scrape of PDOH measles webpage	2	159
2026-08-19	1	Lebanon	Scrape of PDOH measles webpage	2	21
2026-08-19	1	Mercer	Scrape of PDOH measles webpage	2	1
2026-08-19	2	Mifflin	Scrape of PDOH measles webpage	2	19
2026-08-19	6	Snyder	Scrape of PDOH measles webpage	2	12
2026-08-19	1	Somerset	Scrape of PDOH measles webpage	2	1
2026-08-19	1	Union	Scrape of PDOH measles webpage	2	1
2026-08-19	1	Warren	Scrape of PDOH measles webpage	2	1
2026-08-21	3	Centre	Scrape of PDOH measles webpage	2	13
2026-08-21	3	Chester	Scrape of PDOH measles webpage	2	40
2026-08-21	1	Clearfield	Scrape of PDOH measles webpage	2	8
2026-08-21	3	Elk	Scrape of PDOH measles webpage	2	4
2026-08-21	4	Jefferson	Scrape of PDOH measles webpage	2	11
2026-08-21	14	Lancaster	Scrape of PDOH measles webpage	2	173
2026-08-21	6	Mifflin	Scrape of PDOH measles webpage	2	25
2026-08-21	1	Snyder	Scrape of PDOH measles webpage	2	13
2026-08-21	2	Somerset	Scrape of PDOH measles webpage	2	3
2026-08-21	1	Venango	Scrape of PDOH measles webpage	2	1
2026-08-21	1	Warren	Scrape of PDOH measles webpage	2	2
2026-08-24	1	Centre	Scrape of PDOH measles webpage	2	14
2026-08-24	1	Clearfield	Scrape of PDOH measles webpage	2	9
2026-08-24	1	Clinton	Scrape of PDOH measles webpage	2	2
2026-08-24	1	Jefferson	Scrape of PDOH measles webpage	2	12
2026-08-24	4	Lancaster	Scrape of PDOH measles webpage	2	177
2026-08-24	1	Mercer	Scrape of PDOH measles webpage	2	2
2026-08-24	4	Mifflin	Scrape of PDOH measles webpage	2	29
2026-08-24	1	Potter	Scrape of PDOH measles webpage	2	1
2026-08-26	3	Jefferson	Scrape of PDOH measles webpage	2	15
2026-08-26	12	Lancaster	Scrape of PDOH measles webpage	2	189
2026-08-26	1	Lycoming	Scrape of PDOH measles webpage	2	2
2026-08-26	8	Mifflin	Scrape of PDOH measles webpage	2	37
2026-08-26	4	Snyder	Scrape of PDOH measles webpage	2	17
2026-08-26	1	Somerset	Scrape of PDOH measles webpage	2	4
2026-08-26	1	Warren	Scrape of PDOH measles webpage	2	3
2026-08-26	1	Westmoreland	Scrape of PDOH measles webpage	2	1
2026-08-28	1	Centre	Scrape of PDOH measles webpage	2	15
2026-08-28	2	Chester	Scrape of PDOH measles webpage	2	42
2026-08-28	1	Franklin	Scrape of PDOH measles webpage	2	1
2026-08-28	1	Jefferson	Scrape of PDOH measles webpage	2	16
2026-08-28	13	Lancaster	Scrape of PDOH measles webpage	2	202
2026-08-28	1	Lycoming	Scrape of PDOH measles webpage	2	3
2026-08-28	1	Mercer	Scrape of PDOH measles webpage	2	3
2026-08-28	6	Mifflin	Scrape of PDOH measles webpage	2	43
2026-08-28	3	Potter	Scrape of PDOH measles webpage	2	4
2026-08-28	4	Snyder	Scrape of PDOH measles webpage	2	21
2026-08-28	1	Union	Scrape of PDOH measles webpage	2	2
2026-08-28	2	York	Scrape of PDOH measles webpage	2	17
2026-08-31	1	Adams	Scrape of PDOH measles webpage	2	1
2026-08-31	7	Chester	Scrape of PDOH measles webpage	2	49
2026-08-31	1	Clearfield	Scrape of PDOH measles webpage	2	10
2026-08-31	1	Cumberland	Scrape of PDOH measles webpage	2	1
2026-08-31	1	Franklin	Scrape of PDOH measles webpage	2	2
2026-08-31	2	Jefferson	Scrape of PDOH measles webpage	2	18
2026-08-31	17	Lancaster	Scrape of PDOH measles webpage	2	219
2026-08-31	1	Montour	Scrape of PDOH measles webpage	2	1
2026-08-31	1	Snyder	Scrape of PDOH measles webpage	2	22
2026-08-31	1	Somerset	Scrape of PDOH measles webpage	2	5
2026-08-31	2	Union	Scrape of PDOH measles webpage	2	4
2026-08-31	2	York	Scrape of PDOH measles webpage	2	19
2026-09-02	1	Armstrong	Scrape of PDOH measles webpage	2	1
