date	county	new_cases	cumulative_cases	cumulative_outbreak_cases	source	outbreak
2026-06-24	Northumberland	6	6	6	Manual correction — missed by scraper, confirmed via PDOH	2
2026-06-26	Lancaster	3	49	41	Scrape of PDOH measles webpage	2
2026-06-29	Chester	1	2	1	Scrape of PDOH measles webpage	2
2026-06-29	Lancaster	2	51	43	Scrape of PDOH measles webpage	2
2026-07-01	Chester	1	3	2	Scrape of PDOH measles webpage	2
2026-07-01	York	1	2	2	Scrape of PDOH measles webpage	2
2026-07-06	Berks	1	3	3	Scrape of PDOH measles webpage	2
2026-07-06	Lancaster	5	56	48	Scrape of PDOH measles webpage	2
2026-07-08	Chester	2	5	4	Scrape of PDOH measles webpage	2
2026-07-08	Lancaster	4	60	52	Scrape of PDOH measles webpage	2
2026-07-24	Berks	1	4	4	Scrape of PDOH measles webpage	2
2026-07-24	Chester	9	14	13	Scrape of PDOH measles webpage	2
2026-07-24	Indiana	1	1	1	Scrape of PDOH measles webpage	2
2026-07-24	Lancaster	23	83	75	Scrape of PDOH measles webpage	2
2026-07-24	Mifflin	1	1	1	Scrape of PDOH measles webpage	2
2026-07-24	Snyder	1	1	1	Scrape of PDOH measles webpage	2
2026-07-24	York	2	4	4	Scrape of PDOH measles webpage	2
2026-07-27	Lancaster	1	84	76	Scrape of PDOH measles webpage	2
2026-07-27	York	2	6	6	Scrape of PDOH measles webpage	2
2026-07-29	Bedford	1	1	1	Scrape of PDOH measles webpage	2
2026-07-29	Chester	3	17	16	Scrape of PDOH measles webpage	2
2026-07-29	Indiana	2	3	3	Scrape of PDOH measles webpage	2
2026-07-29	Lancaster	8	92	84	Scrape of PDOH measles webpage	2
2026-07-29	Northumberland	1	7	7	Scrape of PDOH measles webpage	2
2026-07-29	Perry	1	1	1	Scrape of PDOH measles webpage	2
2026-07-31	Chester	2	19	18	Scrape of PDOH measles webpage	2
2026-07-31	Lancaster	6	98	90	Scrape of PDOH measles webpage	2
2026-07-31	York	1	7	7	Scrape of PDOH measles webpage	2
2026-08-03	Chester	1	20	19	Scrape of PDOH measles webpage	2
2026-08-03	Lancaster	6	104	96	Scrape of PDOH measles webpage	2
2026-08-03	Lehigh	2	2	2	Scrape of PDOH measles webpage	2
2026-08-05	Centre	1	1	1	Scrape of PDOH measles webpage	2
2026-08-05	Chester	1	21	20	Scrape of PDOH measles webpage	2
2026-08-05	Clarion	1	1	1	Scrape of PDOH measles webpage	2
2026-08-05	Jefferson	1	1	1	Scrape of PDOH measles webpage	2
2026-08-05	Lancaster	12	116	108	Scrape of PDOH measles webpage	2
2026-08-05	Mifflin	3	4	4	Scrape of PDOH measles webpage	2
2026-08-05	Perry	3	4	4	Scrape of PDOH measles webpage	2
2026-08-05	Snyder	1	2	2	Scrape of PDOH measles webpage	2
2026-08-05	York	3	10	10	Scrape of PDOH measles webpage	2
2026-08-07	Centre	1	2	2	Scrape of PDOH measles webpage	2
2026-08-07	Chester	1	22	21	Scrape of PDOH measles webpage	2
2026-08-07	Jefferson	2	3	3	Scrape of PDOH measles webpage	2
2026-08-07	Lancaster	16	132	124	Scrape of PDOH measles webpage	2
2026-08-07	Mifflin	2	6	6	Scrape of PDOH measles webpage	2
2026-08-07	York	2	12	12	Scrape of PDOH measles webpage	2
2026-08-10	Chester	1	23	22	Scrape of PDOH measles webpage	2
2026-08-10	Clearfield	2	2	2	Scrape of PDOH measles webpage	2
2026-08-10	Jefferson	1	4	4	Scrape of PDOH measles webpage	2
2026-08-10	Lancaster	1	133	125	Scrape of PDOH measles webpage	2
2026-08-10	Snyder	1	3	3	Scrape of PDOH measles webpage	2
2026-08-12	Centre	1	3	3	Scrape of PDOH measles webpage	2
2026-08-12	Chester	3	26	25	Scrape of PDOH measles webpage	2
2026-08-12	Clarion	1	2	2	Scrape of PDOH measles webpage	2
2026-08-12	Clearfield	1	3	3	Scrape of PDOH measles webpage	2
2026-08-12	Huntingdon	1	1	1	Scrape of PDOH measles webpage	2
2026-08-12	Lancaster	12	145	137	Scrape of PDOH measles webpage	2
2026-08-12	Mifflin	5	11	11	Scrape of PDOH measles webpage	2
2026-08-12	York	2	14	14	Scrape of PDOH measles webpage	2
2026-08-14	Centre	3	6	6	Scrape of PDOH measles webpage	2
2026-08-14	Chester	11	37	36	Scrape of PDOH measles webpage	2
2026-08-14	Clearfield	1	4	4	Scrape of PDOH measles webpage	2
2026-08-14	Dauphin	1	3	3	Scrape of PDOH measles webpage	2
2026-08-14	Indiana	1	4	4	Scrape of PDOH measles webpage	2
2026-08-14	Lancaster	16	161	153	Scrape of PDOH measles webpage	2
2026-08-14	Mifflin	3	14	14	Scrape of PDOH measles webpage	2
2026-08-14	Snyder	1	4	4	Scrape of PDOH measles webpage	2
2026-08-14	York	1	15	15	Scrape of PDOH measles webpage	2
2026-08-17	Centre	1	7	7	Scrape of PDOH measles webpage	2
2026-08-17	Columbia	1	1	1	Scrape of PDOH measles webpage	2
2026-08-17	Jefferson	2	6	6	Scrape of PDOH measles webpage	2
2026-08-17	Lancaster	1	162	154	Scrape of PDOH measles webpage	2
2026-08-17	Lycoming	1	1	1	Scrape of PDOH measles webpage	2
2026-08-17	Mifflin	3	17	17	Scrape of PDOH measles webpage	2
2026-08-17	Snyder	2	6	6	Scrape of PDOH measles webpage	2
2026-08-19	Bedford	1	2	2	Scrape of PDOH measles webpage	2
2026-08-19	Centre	3	10	10	Scrape of PDOH measles webpage	2
2026-08-19	Chester	1	38	37	Scrape of PDOH measles webpage	2
2026-08-19	Clearfield	3	7	7	Scrape of PDOH measles webpage	2
2026-08-19	Clinton	1	1	1	Scrape of PDOH measles webpage	2
2026-08-19	Elk	1	1	1	Scrape of PDOH measles webpage	2
2026-08-19	Indiana	4	8	8	Scrape of PDOH measles webpage	2
2026-08-19	Jefferson	1	7	7	Scrape of PDOH measles webpage	2
2026-08-19	Lancaster	5	167	159	Scrape of PDOH measles webpage	2
2026-08-19	Lebanon	1	21	21	Scrape of PDOH measles webpage	2
2026-08-19	Mercer	1	1	1	Scrape of PDOH measles webpage	2
2026-08-19	Mifflin	2	19	19	Scrape of PDOH measles webpage	2
